Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
304,Svi Mykhailiuk,SF,25,NYK,3,0,2,1,1,1,1,1,1,0,0,,1.5,0,0.3,0,0,0.7,0.7,0,0,0,0.3,0,3
305,Larry Nance Jr.,PF,30,NOP,13,0,23.8,4.5,6.5,0.682,0.4,0.7,0.556,4.1,5.8,0.697,0.712,0.8,1.1,0.714,1.8,4,5.8,2.2,0.8,0.6,1.1,2.2,10.1
306,Andrew Nembhard,SG,23,IND,11,3,20.1,2.5,5.8,0.422,1.3,3.2,0.4,1.2,2.6,0.448,0.531,0.5,0.5,1,0.4,1.9,2.3,3.4,0.7,0.1,1.1,2.2,6.6
307,Aaron Nesmith,SF,23,IND,8,4,21.1,2.8,6.6,0.415,1.1,3.5,0.321,1.6,3.1,0.52,0.5,1.1,1.4,0.818,0.4,2.9,3.3,1.8,0.3,0.9,1.1,2.8,7.8
308,Raul Neto,PG,30,CLE,8,0,11.4,1.3,3.1,0.4,0.4,1.1,0.333,0.9,2,0.438,0.46,0.8,0.8,1,0.3,1.3,1.5,1.6,0.5,0,0.5,0.8,3.6
309,Georges Niang,PF,29,PHI,14,0,18.1,2.9,6.1,0.471,2.1,4.8,0.448,0.7,1.3,0.556,0.647,0.5,0.5,1,0.2,1.6,1.9,0.7,0.4,0.4,0.7,1.8,8.4
310,Daishen Nix,PG,20,HOU,12,0,13.9,1.2,3.1,0.378,0.9,2.1,0.44,0.3,1,0.25,0.527,0.3,0.3,0.75,0.3,1.1,1.3,2.3,0.8,0.1,1.4,0.8,3.5
311,Zeke Nnaji,PF,22,DEN,8,0,3.9,0.9,1.6,0.538,0,0.4,0,0.9,1.3,0.7,0.538,0.3,0.3,1,0.5,0.4,0.9,0,0.3,0,0.3,1.1,2
312,Nerlens Noel,C,28,DET,4,0,13.5,1,3,0.333,0,0,,1,3,0.333,0.333,0.8,1,0.75,0.5,3.3,3.8,0.8,0.8,0.3,0.8,1.3,2.8
313,Jaylen Nowell,SG,23,MIN,14,0,18.1,4.3,10.3,0.417,1.2,3.9,0.309,3.1,6.4,0.483,0.476,1.1,1.4,0.789,0.6,2.2,2.8,2.3,0.5,0.1,0.9,1.5,10.9
314,Frank Ntilikina,PG,24,DAL,1,0,4,0,3,0,0,3,0,0,0,,0,0,0,,0,2,2,1,0,0,0,0,0
315,Kendrick Nunn,PG,27,LAL,11,2,13.5,1.9,6.2,0.309,0.7,3.2,0.229,1.2,3,0.394,0.368,0.2,0.3,0.667,0.1,1.4,1.5,1.3,0.2,0.1,1.4,0.9,4.7
316,Jusuf Nurkić,C,28,POR,11,11,28.2,4.7,9.6,0.491,0.5,1,0.545,4.2,8.6,0.484,0.519,2.6,3.1,0.853,3,7.6,10.6,2.4,0.8,0.7,2.4,3,12.6
317,Jordan Nwora,SF,24,MIL,13,1,18.2,2,6.6,0.302,1,3.3,0.302,1,3.3,0.302,0.378,1.2,1.2,1,0.8,3.3,4.2,1,0.3,0.1,0.8,1.2,6.2
318,Royce O'Neale,SF,29,BRK,15,15,35.5,3.4,9.2,0.37,2.3,5.7,0.412,1.1,3.5,0.302,0.496,0.7,0.9,0.714,1.1,3.4,4.5,3.9,1.3,0.6,1.3,3.3,9.8
319,Chuma Okeke,PF,24,ORL,14,3,21,2,4.9,0.412,1.1,3.3,0.348,0.9,1.6,0.545,0.529,0.9,1.2,0.765,1.4,2.9,4.4,1.6,0.4,0.5,0.6,1.8,6.1
320,Josh Okogie,SG,24,PHO,12,0,5.3,0.3,1.2,0.286,0,0.6,0,0.3,0.6,0.571,0.286,0.3,0.5,0.667,0.3,0.9,1.2,0.1,0.3,0.2,0.4,0.7,1
321,Onyeka Okongwu,C,22,ATL,13,0,19.8,3.7,5.5,0.667,0,0.1,0,3.7,5.5,0.676,0.667,0.8,1.2,0.667,1.8,3.8,5.6,1,0.5,0.8,0.6,3.3,8.2
322,Isaac Okoro,SG,22,CLE,13,3,15.8,0.9,2.8,0.333,0.1,1.1,0.071,0.8,1.7,0.5,0.347,0.7,0.9,0.75,0.4,1.1,1.5,0.4,0.5,0.1,0.8,2,2.6
323,KZ Okpala,PF,23,SAC,7,3,7.3,0.3,0.9,0.333,0.1,0.6,0.25,0.1,0.3,0.5,0.417,0.6,0.6,1,0.3,0.6,0.9,0.3,0,0,0,0.9,1.3
324,Kelly Olynyk,PF,31,UTA,16,16,26.9,4.5,8.3,0.545,1.6,3.2,0.49,2.9,5.1,0.58,0.64,2.6,3.3,0.792,1.3,3.5,4.8,3.1,1.3,0.4,2.6,4.4,13.2
325,Eugene Omoruyi,SF,25,OKC,6,0,11.5,2.5,4.3,0.577,1,1.8,0.545,1.5,2.5,0.6,0.692,1.2,1.8,0.636,0.8,1.2,2,0.3,0.2,0,0.7,2.8,7.2
326,Cedi Osman,SF,27,CLE,13,0,21.4,3.1,7,0.44,1.5,3.8,0.388,1.6,3.2,0.5,0.544,1.3,1.8,0.708,0.2,2.2,2.4,1.8,0.1,0.1,0.8,2.2,8.9
327,Kelly Oubre Jr.,SF,27,CHO,15,15,30.8,6.7,16.3,0.41,2.5,7.7,0.33,4.1,8.6,0.481,0.488,2.5,3.5,0.698,1.1,3.7,4.8,1.2,1.5,0.3,1.2,3.1,18.3
328,Chris Paul,PG,37,PHO,10,10,30.2,2.8,7.6,0.368,0.9,3.3,0.273,1.9,4.3,0.442,0.428,3,3.4,0.882,0.5,4,4.5,9.4,1.7,0.2,1.5,2.3,9.5
329,Cameron Payne,PG,28,PHO,11,3,21.8,4.5,10.9,0.417,1.8,4.7,0.385,2.7,6.2,0.441,0.5,0.9,1.1,0.833,0.3,2.3,2.5,3.8,1,0.1,1.9,1.7,11.8
330,Theo Pinson,SG,27,DAL,2,0,3.5,0,0,,0,0,,0,0,,,1,1,1,0,1,1,0.5,0,0,0,0,1
331,Scotty Pippen Jr.,PG,22,LAL,2,0,4,0,1,0,0,0,,0,1,0,0,1.5,2,0.75,0.5,0.5,1,0,0,0,0.5,1,1.5
332,Mason Plumlee,C,32,CHO,15,15,26.6,3.7,5.9,0.636,0,0,,3.7,5.9,0.636,0.636,2.2,3.7,0.589,2.9,5.9,8.9,4.1,0.6,0.5,1.9,3.4,9.7
333,Jakob Poeltl,C,27,SAS,15,15,28.8,5.9,9,0.659,0,0,,5.9,9,0.659,0.659,1.5,3.2,0.479,3.9,6.2,10.1,3.7,0.9,1.2,2.5,2.2,13.4
334,Aleksej Pokusevski,PF,21,OKC,12,8,24.4,4,8.7,0.462,1.3,3.6,0.372,2.7,5.1,0.525,0.538,0.6,1.1,0.538,1.8,4.2,5.9,1.8,0.8,1.7,1.7,1.8,9.9
335,Jordan Poole,SG,23,GSW,14,3,28.6,5.8,13.2,0.438,2.4,7,0.347,3.4,6.2,0.54,0.53,3.1,3.7,0.827,0.2,1.6,1.8,4.3,1.2,0.1,3,2.4,17.1
336,Kevin Porter Jr.,PG,22,HOU,14,14,34.8,6.6,16.1,0.409,1.8,5.5,0.325,4.8,10.6,0.453,0.464,4.3,5.9,0.732,1.5,4.3,5.8,5.6,1.4,0.3,3.9,3,19.2
337,Michael Porter Jr.,SF,24,DEN,12,12,29.1,6.5,13.1,0.497,3.6,7.4,0.483,2.9,5.7,0.515,0.634,1.4,1.7,0.85,1.3,5.1,6.4,1.3,0.7,0.3,1,2.9,18
338,Otto Porter Jr.,SF,29,TOR,8,2,18.3,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,0.692,0.6,1,1,1,0.8,1.6,2.4,1,1.4,0,0.5,0.9,5.5
339,Bobby Portis,PF,27,MIL,13,3,26.5,5.4,12.2,0.443,1.2,3.9,0.314,4.2,8.2,0.505,0.494,1.4,1.8,0.783,2.8,8.2,10.9,2,0.4,0.2,1.1,1.5,13.4
340,Kristaps Porziņģis,PF,27,WAS,13,13,31,7.1,14.5,0.489,2.2,5.8,0.387,4.8,8.7,0.558,0.566,4.2,5.2,0.806,2.2,5.9,8.2,2.4,0.8,1.4,1.8,3.3,20.5
341,Micah Potter,PF,24,UTA,2,0,6,1,1,1,0,0,,1,1,1,1,0,0,,0.5,1,1.5,0.5,0,0,0,1,2
342,Dwight Powell,C,31,DAL,10,6,18.8,2.4,3.9,0.615,0,0.1,0,2.4,3.8,0.632,0.615,1.2,1.6,0.75,1.7,1.9,3.6,0.7,0.7,0.4,0.7,2.3,6
